BlockNo,Area,Zip,Geom
302533,126967,"11222","(-73.95338853079076,40.732798663366374)"
308458,99908,"11234","(-73.90097818395394,40.61457517144245)"
203599,139536,"10473","(-73.86224860124231,40.820363607288094)"
403924,40695,"11356","(-73.84043171917081,40.793151661974086)"
301130,178144,"11238","(-73.9663538851879,40.68026987455299)"
305475,140209,"11204","(-73.97959347487043,40.62426671806614)"
205380,187712,"10461","(-73.8395190977881,40.841362171860766)"
408037,4500,"11363","(-73.7466465344559,40.77747751947274)"
503024,719059,"10305","(-74.07204318718836,40.603413619223105)"
403922,85057,"11356","(-73.84210437747835,40.79325736930424)"
302818,80000,"11222","(-73.9380885000554,40.72271642458627)"
403681,122896,"11385","(-73.88550591001152,40.70254116045806)"
503369,98388,"10305","(-74.08825359911582,40.58943339965476)"
101082,160667,"10019","(-73.99160075685654,40.76746836703985)"
412670,4925,"11412","(-73.75745674663864,40.687390152467245)"
411875,0,"","(-73.8064145284431,40.66672331814262)"
400318,109145,"11106","(-73.93688969005231,40.765232895605834)"
100610,122681,"10014","(-74.0013472749648,40.73416210684492)"
203030,309590,"10457, 10458","(-73.89620723263285,40.85399233739037)"
304492,222637,"11208","(-73.86167531491935,40.66868915655181)"
300520,87983,"11231","(-74.00483985535692,40.678557711863476)"
410265,2000,"11433","(-73.78133421248155,40.69840699621831)"
409308,94851,"11418","(-73.84273563567572,40.69172170263707)"
501033,67475,"10302","(-74.13369709937346,40.6321655992782)"
403519,193767,"11385","(-73.90266050630737,40.71202334078255)"
100687,45950,"10011","(-74.00797663311961,40.74338332089479)"
101277,127437,"10036, 10017","(-73.97934698412155,40.75330342535153)"
409175,91740,"11417","(-73.84021934709709,40.67764938802378)"
100056,47901,"10006","(-74.01405932416252,40.71015958836387)"
413419,8000,"11413","(-73.76509293083112,40.655519837743306)"
506603,104740,"10312","(-74.18903799473372,40.5219369906367)"
500465,95634,"10314","(-74.13679457930085,40.61490878958606)"
303826,100000,"11207","(-73.89056202267815,40.664476942741096)"
303981,80000,"11207","(-73.88765386435887,40.675067378467574)"
204286,154256,"10462","(-73.86840495230447,40.85351945961198)"
202451,79087,"10456","(-73.91735141214416,40.830412818645414)"
100591,74709,"10014","(-74.00322202753642,40.73301161611195)"
102027,154865,"10030","(-73.94215903220945,40.82002382555786)"
204002,87520,"10461","(-73.84713228371226,40.842641444494)"
403856,5668,"11385","(-73.85982892015025,40.70903156844525)"
100034,11346,"10005","(-74.0084166594822,40.703713763791285)"
302384,67191,"11211","(-73.95592491914663,40.7128277042044)"
304205,80836,"11208","(-73.86452368302994,40.678358979309245)"
403425,89836,"11385","(-73.91604558967825,40.70684231226382)"
416021,193417,"11692","(-73.79778768216617,40.599213068863286)"
301527,135020,"11233","(-73.91263665182879,40.68046423110152)"
202604,3253806,"10455, 10474","(-73.89912891900335,40.80846357661048)"
416049,124800,"11692","(-73.79973452451101,40.59577102677701)"
403597,154203,"11385","(-73.89174523031838,40.69917340642352)"
413673,8000,"11422","(-73.73010399275135,40.654085185289915)"
500669,151214,"10301","(-74.10477241923543,40.61390148462343)"
308702,46261,"11235","(-73.95879934438368,40.58139774112487)"
204721,164325,"10469","(-73.84838076401117,40.877755410286575)"
501145,33866,"10303","(-74.14650138443324,40.62679541826116)"
307345,139995,"11229","(-73.95851236276205,40.59751285162255)"
506924,164689,"10309","(-74.20667816156666,40.53642731783531)"
306940,44215,"11214","(-73.9882718118484,40.58545720002844)"
307471,152000,"11235","(-73.94292658253039,40.58806182267243)"
402600,952559,"11378","(-73.92304626959601,40.72211357687998)"
203283,201437,"10458","(-73.88822327721944,40.865892959218456)"
205373,108517,"10461","(-73.83440497786789,40.83883217848996)"
300634,138333,"11215, 11232","(-73.99306749817192,40.66341161272988)"
